"domain","Predictor","param1","p1_0","p1_val","param2","p2_0","p2_val","param3","p3_0","p3_val","Fixed_Effect","AIC","BIC","R_squared","Log_Likelihood","N_Observations","R_squared_CI_lower","R_squared_CI_upper"
"foods","multimodaldelta","alpha","0","9","rise","0","0","fall","0","75",0.289137273473772,1400.8663630038,1424.33938006588,0.231483398600198,-696.433181501901,2613,0.221390470071917,0.280138185313473
"foods","multimodaldelta","alpha","0","9","rise","0","0","fall","1","0",0.279506846316966,1470.01874958052,1493.4917666426,0.211629562040083,-731.00937479026,2613,0.205852749543216,0.259574492345085
"foods","multimodaldelta","alpha","0","9","rise","0","25","fall","0","0",0.278413183536448,1389.35696254297,1412.82997960505,0.237289536258531,-690.678481271483,2613,0.22509131292968,0.285329765337476
"foods","multimodaldelta","alpha","0","9","rise","0","25","fall","0","25",0.292844623640024,1327.67843345433,1351.15145051642,0.254803140230097,-659.839216727167,2613,0.245090834618128,0.304010336487037
"foods","multimodaldelta","alpha","0","9","rise","0","25","fall","0","5",0.304801491136676,1285.90976511609,1309.38278217817,0.266414478413886,-638.954882558044,2613,0.252200375391204,0.313986216487833
"foods","multimodaldelta","alpha","0","9","rise","0","25","fall","0","75",0.298467768242024,1339.24042135282,1362.71343841491,0.252775840364352,-665.620210676411,2613,0.242101398433986,0.301089025353196
"foods","multimodaldelta","alpha","0","9","rise","0","25","fall","1","0",0.285856584040121,1418.54842769517,1442.02144475726,0.229984757438059,-705.274213847587,2613,0.221926258137002,0.277611978046978
"foods","multimodaldelta","alpha","0","9","rise","0","5","fall","0","0",0.307142232844846,1297.31064412475,1320.78366118683,0.264501638025257,-644.655322062375,2613,0.252838313396352,0.312739565493547
"foods","multimodaldelta","alpha","0","9","rise","0","5","fall","0","25",0.316174389716467,1241.79783651237,1265.27085357445,0.279845248134819,-616.898918256183,2613,0.266051489974944,0.325552590299146
"foods","multimodaldelta","alpha","0","9","rise","0","5","fall","0","5",0.324964882393192,1192.26948449343,1215.74250155552,0.292026032072431,-592.134742246717,2613,0.275475029464132,0.342305141198756
